id,lat,long
112739.485_487842.301-Rest,52.376823,4.7665815
112973.480_485077.400-Rest,52.351994,4.7703633
113011.560_484957.980-Rest,52.350925,4.7709374
113043.960_485172.926-Rest,52.35286,4.771386
113048.608_487543.943-Rest,52.37417,4.771158
113095.022_485087.761-Rest,52.352097,4.772146
113103.780_485014.560-Rest,52.35144,4.7722836
113105.048_484894.139-Rest,52.350357,4.7723174
113128.774_485120.766-Rest,52.352394,4.7726374
113140.137_485134.234-Rest,52.352516,4.7728024
113175.566_485179.983-Rest,52.352932,4.773317
113192.478_484837.346-Rest,52.349854,4.7736077
113204.437_485258.428-Rest,52.353638,4.7737308
113213.498_484941.461-Rest,52.350792,4.773903
113224.090_485076.352-Rest,52.352005,4.7740417
113274.781_485260.492-Rest,52.35366,4.774763
113298.766_484885.517-Rest,52.350296,4.7751613
113304.419_485380.335-Rest,52.35474,4.775183
113305.944_484761.246-Rest,52.34918,4.7752824
113317.191_485273.069-Rest,52.35378,4.775384
113334.394_485003.652-Rest,52.35136,4.7756696
113335.758_485074.057-Rest,52.35199,4.775681
113341.753_485215.886-Rest,52.353268,4.7757516
113356.637_484969.360-Rest,52.35105,4.7760005
113373.895_485236.718-Rest,52.353455,4.776221
113382.040_485496.552-Rest,52.355793,4.776308
113399.055_485410.843-Rest,52.355022,4.7765684
113407.612_485405.185-Rest,52.354973,4.776695
113432.147_484930.673-Rest,52.35071,4.7771134
113437.136_485193.385-Rest,52.353073,4.777154
113437.470_485150.927-Rest,52.35269,4.7771645
113439.140_485322.697-Rest,52.354233,4.777168
113447.145_484690.574-Rest,52.348553,4.7773633
113451.838_485351.959-Rest,52.354496,4.7773504
113465.181_485366.952-Rest,52.354633,4.7775445
113469.618_484983.079-Rest,52.351185,4.777657
113486.171_485117.122-Rest,52.35239,4.777883
113489.607_485159.552-Rest,52.35277,4.7779284
113491.888_485547.580-Rest,52.35626,4.777914
113496.029_484746.173-Rest,52.349056,4.778074
113512.037_485329.863-Rest,52.354305,4.7782364
113515.692_484631.464-Rest,52.348026,4.7783766
113516.283_485630.432-Rest,52.357006,4.7782617
113520.958_485095.013-Rest,52.352196,4.7783966
113556.243_485505.457-Rest,52.355885,4.778864
113559.654_484838.184-Rest,52.349888,4.778996
113579.348_485290.552-Rest,52.353954,4.7792296
113584.115_485556.591-Rest,52.356346,4.779267
113587.907_485192.335-Rest,52.353073,4.779367
113594.266_485749.576-Rest,52.35808,4.779392
113602.624_484746.555-Rest,52.349068,4.779638
113606.635_485471.776-Rest,52.355587,4.779608
113611.241_484884.546-Rest,52.350307,4.7797475
113628.989_484556.097-Rest,52.34736,4.7800484
113648.455_485636.689-Rest,52.35707,4.780201
113665.363_485420.512-Rest,52.35513,4.780476
113675.751_485676.657-Rest,52.357433,4.7805967
113676.377_485324.071-Rest,52.354263,4.780649
113686.738_484756.378-Rest,52.349163,4.7808714
113687.286_485126.332-Rest,52.35249,4.7808337
113687.742_485561.559-Rest,52.3564,4.780787
113694.662_484969.570-Rest,52.351078,4.7809615
113700.368_485018.453-Rest,52.35152,4.781039
113705.217_484505.660-Rest,52.346912,4.781173
113712.987_484683.448-Rest,52.34851,4.7812653
113717.360_484813.697-Rest,52.34968,4.7813134
113729.043_485775.656-Rest,52.358326,4.781367
113732.742_485457.313-Rest,52.355465,4.7814603
113738.948_484619.763-Rest,52.34794,4.7816544
113756.503_484607.988-Rest,52.347836,4.7819133
113768.825_484918.957-Rest,52.35063,4.782056
113781.869_485156.139-Rest,52.352764,4.7822185
113784.156_485263.238-Rest,52.353725,4.782239
113785.381_485683.201-Rest,52.3575,4.782205
113790.734_485150.916-Rest,52.35272,4.782349
113804.261_485542.373-Rest,52.356236,4.7825
113807.583_484673.223-Rest,52.348423,4.782655
113807.715_484893.040-Rest,52.3504,4.78263
113810.041_484945.517-Rest,52.350872,4.7826576
113814.528_484683.268-Rest,52.348515,4.7827554
113822.559_485069.237-Rest,52.351986,4.782826
113829.086_484737.930-Rest,52.349007,4.7829623
113838.579_485577.546-Rest,52.356556,4.782999
113862.373_485140.053-Rest,52.352623,4.783402
113871.829_485294.522-Rest,52.35401,4.7835217
113879.287_485716.767-Rest,52.357807,4.78358
113879.330_484844.508-Rest,52.349968,4.7836866
113885.549_485680.118-Rest,52.35748,4.783676
113891.215_484527.453-Rest,52.347122,4.7839
113901.773_485468.821-Rest,52.355583,4.78394
113902.837_484405.110-Rest,52.346024,4.7840858
113906.381_485722.071-Rest,52.357857,4.7839766
113911.962_484606.243-Rest,52.34783,4.784195
113912.572_484440.775-Rest,52.346344,4.784224
113917.966_485603.044-Rest,52.35679,4.784161
113919.168_485330.387-Rest,52.35434,4.784212
113920.692_485004.373-Rest,52.35141,4.7842746
113921.629_484871.006-Rest,52.350212,4.7843046
113927.115_484363.900-Rest,52.345654,4.7844467
113929.774_485256.275-Rest,52.353672,4.784377
113948.179_485735.268-Rest,52.35798,4.784589
113948.639_485036.928-Rest,52.351704,4.7846804
113964.559_484492.889-Rest,52.346817,4.784981
113968.565_485066.483-Rest,52.35197,4.7849693
113975.652_485063.219-Rest,52.351944,4.7850738
113980.857_485483.552-Rest,52.35572,4.785099
113989.492_485390.891-Rest,52.35489,4.785237
113990.551_485215.229-Rest,52.35331,4.785274
114002.027_484315.087-Rest,52.345222,4.785552
114009.335_485613.935-Rest,52.356895,4.785501
114013.457_484427.780-Rest,52.346233,4.785706
114016.908_484999.626-Rest,52.351376,4.785687
114020.550_484781.198-Rest,52.34941,4.785767
114026.008_484620.656-Rest,52.34797,4.7858667
114027.055_484902.470-Rest,52.350502,4.7858477
114036.446_484621.799-Rest,52.34798,4.78602
114044.218_484356.830-Rest,52.3456,4.786166
114046.541_485570.754-Rest,52.35651,4.786052
114047.894_485179.097-Rest,52.35299,4.78612
114060.212_484399.620-Rest,52.345985,4.7863955
114064.108_485758.547-Rest,52.358196,4.7862873
114067.470_484802.906-Rest,52.34961,4.7864532
114075.751_484521.136-Rest,52.347076,4.7866087
114087.893_484223.757-Rest,52.344406,4.7868233
114088.478_485859.280-Rest,52.359104,4.786633
114090.205_485649.616-Rest,52.35722,4.7866836
114093.954_485762.041-Rest,52.35823,4.786725
114096.236_485401.928-Rest,52.354996,4.7868023
114100.806_485141.833-Rest,52.352657,4.786901
114103.111_485016.581-Rest,52.351532,4.78695
114111.138_485212.120-Rest,52.35329,4.787044
114114.011_484480.206-Rest,52.346714,4.787175
114116.453_484818.811-Rest,52.34976,4.78717
114122.349_484929.720-Rest,52.350754,4.787243
114125.669_485332.894-Rest,52.354378,4.787243
114131.792_484670.724-Rest,52.348427,4.787413
114139.980_485881.300-Rest,52.359306,4.7873864
114140.934_484520.874-Rest,52.34708,4.787565
114148.620_484698.324-Rest,52.348675,4.787657
114150.738_484632.758-Rest,52.348087,4.787696
114184.855_485884.238-Rest,52.359337,4.7880445
114185.165_484567.887-Rest,52.347507,4.788209
114188.450_484952.713-Rest,52.350964,4.7882104
114194.537_484195.692-Rest,52.344162,4.7883916
114200.748_484609.412-Rest,52.34788,4.7884326
114201.341_488220.802-Rest,52.380337,4.788003
114204.639_485461.759-Rest,52.35554,4.7883863
114209.973_485026.465-Rest,52.35163,4.7885175
114210.107_484849.960-Rest,52.350044,4.788541
114215.141_485790.258-Rest,52.358494,4.788501
114221.286_484774.399-Rest,52.349365,4.788714
114223.645_489486.695-Rest,52.391716,4.788177
114224.934_485249.205-Rest,52.353634,4.78871
114238.711_485406.488-Rest,52.355045,4.788893
114244.975_485696.401-Rest,52.357655,4.78895
114245.480_484658.173-Rest,52.348324,4.789083
114248.137_484275.675-Rest,52.344883,4.7891684
114250.481_484160.013-Rest,52.343845,4.789217
114255.428_485532.810-Rest,52.356182,4.789123
114261.744_485175.262-Rest,52.35297,4.789259
114265.322_485319.261-Rest,52.354263,4.7892942
114276.871_485603.250-Rest,52.35682,4.789429
114278.606_486289.412-Rest,52.362984,4.7893715
114282.570_484794.974-Rest,52.349556,4.789611
114287.312_485250.699-Rest,52.35365,4.789625
114289.124_484338.198-Rest,52.34545,4.7897625
114292.274_484798.098-Rest,52.349583,4.789753
114295.316_484753.309-Rest,52.349182,4.789803
114299.507_484127.413-Rest,52.343555,4.78994
114301.216_486200.260-Rest,52.362186,4.7897143
114310.069_484959.947-Rest,52.35104,4.7899942
114314.109_488373.133-Rest,52.381714,4.789641
114317.237_485478.655-Rest,52.3557,4.7900367
114321.153_486189.836-Rest,52.362095,4.7900085
114321.212_486135.099-Rest,52.361603,4.7900157
114326.549_485975.163-Rest,52.360165,4.7901134
114333.289_485933.062-Rest,52.359787,4.7902174
114346.482_485380.927-Rest,52.354824,4.7904778
114353.988_484091.003-Rest,52.34323,4.790744
114355.745_484895.659-Rest,52.350464,4.790673
114364.094_484449.169-Rest,52.34645,4.790849
114364.741_486053.526-Rest,52.36087,4.7906647
114364.805_485799.392-Rest,52.35859,4.790696
114368.683_488005.075-Rest,52.37841,4.790487
114369.468_486335.256-Rest,52.363403,4.7907
114372.297_484800.627-Rest,52.349613,4.790927
114376.055_485289.272-Rest,52.354004,4.790923
114387.784_483992.569-Rest,52.34235,4.7912517
114388.111_488340.552-Rest,52.381428,4.7907314
114402.339_489332.319-Rest,52.390343,4.7908206
114405.877_484169.416-Rest,52.34394,4.791496
114408.018_484517.279-Rest,52.34707,4.7914853
114408.205_485683.538-Rest,52.357548,4.7913475
114409.803_485957.457-Rest,52.360012,4.791338
114416.482_485841.627-Rest,52.35897,4.79145
114417.465_484411.097-Rest,52.346115,4.791637
114428.262_488374.197-Rest,52.381733,4.791317
114449.127_484235.026-Rest,52.344536,4.792123
114451.491_486109.962-Rest,52.361385,4.791931
114459.813_486364.366-Rest,52.36367,4.7920227
114461.630_488110.220-Rest,52.379364,4.791839
114462.684_485720.350-Rest,52.357883,4.792143
114464.932_485384.135-Rest,52.354862,4.7922163
114468.163_485522.995-Rest,52.35611,4.792247
114471.034_485628.299-Rest,52.357056,4.7922764
114500.543_485836.438-Rest,52.35893,4.7926846
114508.937_485714.022-Rest,52.35783,4.7928224
114516.314_485992.474-Rest,52.360332,4.792897
114525.275_484570.301-Rest,52.347553,4.7931995
114526.510_484225.723-Rest,52.344456,4.793259
114541.417_486387.551-Rest,52.363888,4.793218
114543.918_486138.089-Rest,52.361645,4.793285
114556.126_484394.705-Rest,52.345978,4.7936735
114559.598_485137.033-Rest,52.35265,4.7936354
114564.654_485745.071-Rest,52.358112,4.7936363
114568.121_485048.342-Rest,52.351852,4.7937713
114570.279_485255.559-Rest,52.353714,4.793778
114572.400_484538.865-Rest,52.347275,4.7938952
114572.874_486381.070-Rest,52.36383,4.7936807
114579.749_484429.945-Rest,52.346294,4.794016
114584.793_486293.442-Rest,52.363045,4.793866
114585.432_485341.431-Rest,52.35449,4.79399
114596.843_485647.323-Rest,52.35724,4.794121
114608.407_485746.590-Rest,52.35813,4.7942786
114610.365_485431.763-Rest,52.3553,4.794345
114610.472_485595.951-Rest,52.356777,4.794327
114615.759_483906.551-Rest,52.341595,4.794607
114616.861_484376.432-Rest,52.345818,4.794567
114624.333_485578.179-Rest,52.356617,4.7945323
114626.570_485685.364-Rest,52.357582,4.7945523
114635.915_486290.092-Rest,52.363018,4.794617
114639.151_485853.224-Rest,52.359093,4.794717
114642.041_485163.399-Rest,52.352894,4.7948422
114643.347_484393.475-Rest,52.345974,4.794954
114643.792_485151.549-Rest,52.352787,4.7948694
114645.595_488080.595-Rest,52.37911,4.794544
114647.865_486156.429-Rest,52.361816,4.7948084
114648.483_486092.658-Rest,52.361244,4.794825
114655.731_488513.994-Rest,52.383007,4.794641
114659.158_486037.681-Rest,52.360752,4.7949886
114666.704_488275.871-Rest,52.380867,4.794831
114666.756_485772.392-Rest,52.358368,4.7951317
114667.965_485714.075-Rest,52.35784,4.7951565
114669.521_485065.459-Rest,52.352013,4.795257
114674.680_485367.508-Rest,52.35473,4.7952967
114674.751_485553.149-Rest,52.356396,4.7952757
114678.289_486044.071-Rest,52.36081,4.7952685
114679.242_484998.679-Rest,52.351414,4.795408
114699.112_485289.525-Rest,52.35403,4.795665
114707.719_485449.810-Rest,52.355473,4.795772
114708.359_485777.961-Rest,52.35842,4.795742
114711.836_484932.979-Rest,52.350826,4.795894
114713.544_488275.215-Rest,52.380863,4.795519
114717.943_484681.017-Rest,52.348564,4.796014
114719.921_488351.586-Rest,52.38155,4.7956033
114724.904_485566.503-Rest,52.35652,4.79601
114731.180_487679.010-Rest,52.375507,4.7958493
114733.395_484865.176-Rest,52.35022,4.796219
114736.292_484255.376-Rest,52.344738,4.7963343
114741.194_486413.581-Rest,52.364136,4.796148
114741.694_485879.339-Rest,52.359333,4.7962193
114746.172_485335.674-Rest,52.354446,4.79635
114754.578_488144.873-Rest,52.379696,4.796137
114756.714_485199.951-Rest,52.35323,4.7965207
114756.720_488463.677-Rest,52.38256,4.79613
114757.694_488606.072-Rest,52.38384,4.7961273
114758.246_485828.071-Rest,52.358875,4.7964683
114761.404_486296.228-Rest,52.363083,4.7964587
114765.277_485442.926-Rest,52.35541,4.7966175
114767.717_488277.916-Rest,52.380894,4.7963142
114770.214_485097.329-Rest,52.352306,4.7967315
114774.247_488358.254-Rest,52.381615,4.7964
114774.387_485776.431-Rest,52.35841,4.7967114
114775.008_485584.341-Rest,52.356686,4.7967434
114779.898_485031.707-Rest,52.35172,4.796881
114781.550_485639.526-Rest,52.35718,4.796833
114794.253_485351.233-Rest,52.35459,4.797054
114794.563_485713.522-Rest,52.35785,4.797015
114800.787_487599.012-Rest,52.374794,4.7968807
114801.640_484095.745-Rest,52.343307,4.7973123
114802.732_486175.958-Rest,52.362003,4.7970796
114803.152_485296.905-Rest,52.354103,4.7971907
114807.587_485481.219-Rest,52.35576,4.797234
114810.483_486469.798-Rest,52.364647,4.7971582
114813.071_484818.892-Rest,52.349808,4.7973933
114813.199_484964.132-Rest,52.351112,4.797378
114813.643_486451.756-Rest,52.364483,4.797207
114815.842_488278.025-Rest,52.380898,4.797021
114818.932_488145.931-Rest,52.37971,4.797082
114821.105_488465.032-Rest,52.382576,4.7970757
114835.160_484896.669-Rest,52.35051,4.7977085
114839.726_488373.927-Rest,52.38176,4.79736
114839.990_486340.489-Rest,52.363483,4.797607
114847.286_485365.369-Rest,52.35472,4.7978306
114855.242_485454.628-Rest,52.355526,4.7979364
114859.851_486321.302-Rest,52.363316,4.7979007
114864.309_486314.050-Rest,52.36325,4.797967
114870.343_485129.873-Rest,52.352608,4.798197
114872.082_486011.284-Rest,52.36053,4.798117
114880.587_485063.815-Rest,52.352013,4.798355
114881.891_486205.263-Rest,52.362274,4.7982383
114884.777_488348.117-Rest,52.38153,4.7980247
